Suburb,Community Newspaper,Main Paper
"Amberley, Cheviot, Culverden, Greta Valley, Hanmer Springs, Hawarden, Leithfield, Parnassus, Waiau, Waikari, Waipara, Cust, Loburn, Ohoka, Oxford, Rangiora, Sefton, Woodend",Northern Outlook,The Press
"Arthur's Pass, Burnham, Darfield, Dunsandel, Glentunnel, Halswell, Hororata, Kirwee, Lake Coleridge, Leeston, Lincoln, Little River, Motukarara, Prebbleton, Rolleston, Sheffield, Southbridge, Springfield, Springston, Tai Tapu,(Tai Tap), West Melton, Yaldhurst",Central Canterbury News,The Press
"Addington, Aranui, Avonhead, Avonside, Avonside, Banks Penninsula, Beckenham, Belfast, Bryndwr, Burnside, Burwood, Cashmere, Cracroft, Edgeware, Fendalton, Ferrymead, Halswell, Heathcote, Hoon Hay, Hornby, Linwood, Lyttelton, Mairehau, Merivale, New Brighton, Oaklands, Opawa, Papanui, Paparoa, Redcliffs, Riccarton, Shirley, Somerfield, South New Brighton, South Shore, Spreydon, St Martins, Sumner, Sydenham, Woolston",Christchurch Mail,The Press
"Arundel, Ashburton, Freezing Point, Hinds, Lake Heron, Mayfield, Methven, Mt Hutt, Mt Somers, Rakaia",Mid Canterbury Herald,The Press
"Kaikoura, Ward, Seddon, Blenheim, Picton, Havelock, Rai Valley",Marlborough Midweek,Marlborough Express
"Blenheim, Picton, Kaikoura, Rai Valley and Havelock",Saturday Express,Marlborough Express
"Whole of the Kaikoura township and rural areas. North to Clarence Bridge, South to Oaro and inland to Mt Lyford",Kaikoura Star,Marlborough Express
"Arundel, Ashburton, Freezing Point, Hinds, Lake Heron, Mayfield, Methven, Mt Hutt, Mt Somers, Rakaia",Mid Canterbury Herald,The Timaru Herald
"Burke Pass, Cave, Fairlie, Geraldine, Glenavy, Kimbell, Kurow, Lake Benmore, Lake Pukaki, Lake Tekapo, Makikihi, Mt. Cook, Omarama, Orari, Otematata, Peel Forest, Pleasant Point, St. Andrews,",South Canterbury Herald,The Timaru Herald
"Temuka, Timaru, Twizel, Waimate, Winchester",,
"Burke Pass, Cave, Fairlie, Geraldine, Glenavy, Kimbell, Kurow, Lake Benmore, Lake Pukaki, Lake Tekapo, Makikihi, Mt. Cook, Omarama, Orari, Otematata, Peel Forest, Pleasant Point, St. Andrews,",Central South Island Farmer - South,The Timaru Herald
"Temuka, Timaru, Twizel, Waimate, Winchester, Duntroon, Dansys Pass, Western, Oamaru, Hampden, Moeraki Boulders, Palmerston, Ranfurly, Otematata",,
"Duntroon, Dansys Pass, Western, Oamaru, Hampden, Moeraki Boulders, Palmerston, Ranfurly, Otematata",Waitaki Herald,The Timaru Herald
